,room,huskies_k
1162,3,-1.0
1164,2,-1.0
1165,2,-1.25
1166,1,-3.0
1178,2,10.5
1179,2,1.3636363636363635
1180,3,-0.7647058823529411
1181,2,7.0
1183,3,1.5
1185,2,-10.666666666666666
1191,3,0.9230769230769231
1192,2,-3.6666666666666665
1193,1,3.3333333333333335
1194,2,1.4444444444444444
1195,2,23.0
1196,2,-0.10344827586206896
1197,1,inf
1200,1,3.0
1201,2,1.75
1202,2,-1.0
1203,1,0.75
1204,2,0.42105263157894735
1205,3,-0.5454545454545454
1206,3,0.7647058823529411
1207,4,-4.0
1208,4,-0.25
1209,3,-12.0
1210,3,-18.333333333333332
1211,3,1.3636363636363635
1227,3,inf
1228,3,1.2222222222222223
1229,3,-0.5
1230,2,4.6
1231,2,inf
1232,2,-10.666666666666666
1233,2,9.0
1234,3,2.1666666666666665
1235,2,-1.2727272727272727
1236,2,-0.4117647058823529
1238,2,2.0
1239,3,-2.0
1240,2,-2.3846153846153846
1241,2,-3.0
1242,2,-1.3333333333333333
1243,1,0.3953488372093023
1268,2,0.1111111111111111
1269,2,-1.8333333333333333
1270,2,-4.833333333333333
1271,2,0.6666666666666666
1272,2,-6.0
1273,3,2.25
1274,3,25.0
1275,3,6.5
1276,3,-5.8
1277,3,-13.0
1278,3,-9.0
1279,3,22.0
1280,3,-0.5555555555555556
1281,2,60.0
1282,2,0.9166666666666666
1283,3,-0.5675675675675675
1284,4,-2.5
1285,4,-1.0
1286,3,-0.6666666666666666
1287,2,0.26666666666666666
1288,4,-1.8888888888888888
1289,3,-0.7142857142857143
1290,3,5.0
1291,3,-2.6666666666666665
1292,2,0.2222222222222222
1293,3,-0.18518518518518517
1294,2,-4.285714285714286
1295,2,3.0
1296,2,0.09090909090909091
1304,2,-2.0
1305,2,-3.75
1306,2,2.5
1307,2,3.6666666666666665
1308,2,-3.3333333333333335
1309,2,4.0
1310,2,-0.6
1311,2,-2.6875
1337,1,0.08333333333333333
1338,2,-1.6428571428571428
1339,2,0.7647058823529411
1340,3,-3.6
1341,2,-7.5
1342,2,-6.5
1343,2,-2.7142857142857144
1344,1,0.23809523809523808
1345,3,-1.5714285714285714
1346,2,-4.75
1349,3,11.0
1350,3,-0.7272727272727273
1351,2,6.8
1352,3,2.888888888888889
1353,3,-0.4583333333333333
1354,2,0.42857142857142855
1355,3,0.47058823529411764
1356,3,-0.0
1357,1,1.4736842105263157
