lon,lat,cnt,index
104.07489,30.66557,3551,13951
104.08927,30.65085,2543,24887
104.0662,30.68444,2472,25229
104.08708,30.6821,2138,25912
104.105324,30.66395,2098,6456
104.04386,30.68232,1805,25402
104.06152,30.642740000000003,1505,37248
104.05193,30.7004,1485,4371
104.040627,30.662699,1474,13059
104.073181,30.702131,1470,6104
104.11946,30.679890000000004,1261,20129
104.104421,30.695113,1186,14958
104.02779,30.69567,934,40862
104.04279,30.71717,851,40789
104.121926,30.650748,745,41147
104.106905,30.637895,703,7822
104.10032,30.71722,638,25794
104.01924,30.667720000000006,526,28525
104.02461,30.64817,486,10500
104.07504,30.72356,460,30559
104.04732,30.62706,457,28051
104.09085,30.62086,420,25911
104.14424,30.67282,333,21448
104.00017,30.67693,326,21307
104.0521,30.733590000000003,307,22218
104.070871,30.609781,305,18229
104.12543,30.70587,302,35110
104.0251,30.63003,294,36367
104.0515,30.7663,290,29426
104.01336,30.717440000000003,274,33660
104.12328,30.724290000000003,260,32707
104.0012,30.65371,258,20011
104.14162,30.62869,238,34140
103.99669,30.70466,214,18377
104.14548,30.650640000000006,195,20360
104.11745,30.61186,191,33225
104.00266,30.6329,178,38234
104.068,30.74643,168,35050
104.166906,30.693526,160,28745
103.97314,30.67231,158,18351
104.0637,30.58951,143,18578
104.14217,30.691292,135,30939
104.02925,30.744290000000003,131,30717
104.14084,30.60435,115,7913
104.08474,30.75883,114,39940
104.04084,30.60197,106,15292
103.97906,30.65001,101,39660
104.162864,30.615223,90,34670
103.97669,30.71789,84,39807
104.08673,30.588490000000004,82,38804
103.95682,30.57135,82,40593
104.16388,30.66553,77,42345
104.096966,30.737293,77,33838
104.06402,30.57127,73,26122
103.97345,30.63143,70,42203
104.10752,30.761129,69,33017
103.98562,30.61662,69,39266
104.17079,30.63228,67,957
104.02128,30.61107,67,40308
104.1664,30.71683,66,32465
104.11734,30.7445,65,22283
104.17975,30.64958,60,16266
103.95123,30.6644,59,22339
104.18657,30.6869,56,27793
104.06694,30.54308,54,24138
104.04892,30.78583,54,27897
103.96428,30.69156,53,37423
103.971137,30.758578000000004,51,250
103.99435,30.73699,51,28325
103.97682,30.57699,48,20986
104.14481,30.713420000000006,48,29206
104.14637,30.73269,46,29200
104.109741,30.590190000000003,46,20631
103.971099,30.740532,46,39607
104.03623,30.57817,45,25433
104.00037,30.60152,43,39276
104.00331,30.57032,41,29927
104.09673,30.55112,39,38919
104.1373,30.58547,39,7516
104.03636,30.55741,38,5270
104.18573,30.667395000000006,37,42333
103.99681,30.75588,36,20664
104.16273,30.59712,36,21463
104.13811,30.792841,36,1137
104.058428,30.802345000000006,35,31446
104.07805,30.81012,34,6946
104.0201,30.592551,33,40017
104.15979,30.80295,30,15658
104.14223,30.76002,30,29896
